source_kind,source,parameter,group,num_runs,layer_jaccard,layer_jaccard_std,layer_jaccard_ci95_low,layer_jaccard_ci95_high,kept,kept_std,kept_ci95_low,kept_ci95_high,imp_kept,imp_kept_std,imp_kept_ci95_low,imp_kept_ci95_high,total,total_std,total_ci95_low,total_ci95_high
aggregate,traj_max_abs,layer3.0.shortcut.0.weight,stage3,5.0,0.47850867669807784,0.012076055948756334,0.46351427278621266,0.493503080609943,1671.2,37.804761604856076,1624.2591885545742,1718.140811445426,933.0,18.547236990991408,909.9705635621328,956.0294364378672,2048.0,0.0,2048.0,2048.0
aggregate,traj_max_abs,layer3.1.conv1.weight,stage3,5.0,0.15621158167594257,0.013293083404393226,0.13970603858758754,0.1727171247642976,4509.0,293.36069948103136,4144.744580966529,4873.255419033471,6521.2,109.84170428393762,6384.81351028929,6657.586489710709,36864.0,0.0,36864.0,36864.0
aggregate,traj_max_abs,layer3.1.conv2.weight,stage3,5.0,0.10653735463436631,0.01026285011777724,0.09379434312416103,0.11928036614457159,1541.2,93.76939799316193,1424.7699143786504,1657.6300856213497,4686.0,87.64416694794924,4577.175393248171,4794.824606751829,36864.0,0.0,36864.0,36864.0
aggregate,traj_max_abs,layer3.2.conv1.weight,stage3,5.0,0.07206551690072074,0.003571808297223512,0.0676305311295728,0.07650050267186868,754.4,96.71246041746637,634.3156197219251,874.4843802780748,4104.8,184.25172997830984,3876.021260279171,4333.578739720829,36864.0,0.0,36864.0,36864.0
aggregate,traj_max_abs,layer3.2.conv2.weight,stage3,5.0,0.05652467509712152,0.005573749399934516,0.049603951132212984,0.06344539906203006,268.4,54.44997704315402,200.79142380249405,336.00857619750593,1595.6,104.61739817066757,1465.7003431057335,1725.4996568942663,36864.0,0.0,36864.0,36864.0
aggregate,traj_mean_abs,conv1.weight,stem,5.0,0.7242993985670636,0.023532594257336316,0.6950798234933924,0.7535189736407348,403.8,8.34865258589672,393.4337786505813,414.1662213494187,307.0,12.609520212918492,291.3432127169964,322.6567872830036,432.0,0.0,432.0,432.0
aggregate,traj_mean_abs,fc.weight,head,5.0,0.8125889053529647,0.020687790325884456,0.7869016209029258,0.8382761898030036,566.4,10.261578825892242,553.6585670071595,579.1414329928405,524.8,6.260990336999411,517.0259537054461,532.5740462945538,640.0,0.0,640.0,640.0
aggregate,traj_mean_abs,layer1.0.conv1.weight,stage1,5.0,0.4219391095970749,0.018267656682303197,0.3992568179631126,0.44462140123103727,1407.0,49.07137658554119,1346.0698383514343,1467.9301616485657,840.8,56.20676115913458,771.0100882130647,910.5899117869352,2304.0,0.0,2304.0,2304.0
aggregate,traj_mean_abs,layer1.0.conv2.weight,stage1,5.0,0.39283862668032865,0.011966523354908434,0.3779802254468743,0.407697027913783,1410.4,75.5235062745368,1316.6251812407916,1504.1748187592086,827.4,50.767115340543036,764.3643005889895,890.4356994110104,2304.0,0.0,2304.0,2304.0
aggregate,traj_mean_abs,layer1.1.conv1.weight,stage1,5.0,0.384334197957091,0.017336572916925218,0.3628079995139105,0.4058603964002715,1288.6,80.12053419692107,1189.1172171708292,1388.0827828291706,777.0,46.834816109385976,718.8468949744816,835.1531050255184,2304.0,0.0,2304.0,2304.0
aggregate,traj_mean_abs,layer1.1.conv2.weight,stage1,5.0,0.35447974085975853,0.01557575722129251,0.3351398838733173,0.3738195978461998,1282.2,44.65086785270808,1226.7586248987386,1337.6413751012615,724.0,30.29026246172192,686.3896716051369,761.6103283948631,2304.0,0.0,2304.0,2304.0
aggregate,traj_mean_abs,layer1.2.conv1.weight,stage1,5.0,0.3870836174853882,0.019306952224269987,0.36311086999347203,0.4110563649773044,1253.0,61.91930232165088,1176.1170315133113,1329.8829684866887,801.6,51.553855335949414,737.5874338607465,865.6125661392535,2304.0,0.0,2304.0,2304.0
aggregate,traj_mean_abs,layer1.2.conv2.weight,stage1,5.0,0.3498907504070302,0.022426789233046435,0.3220442136210526,0.3777372871930078,1199.2,31.491268631161876,1160.0984254829227,1238.3015745170774,717.6,43.56948473415769,663.5013393853078,771.6986606146922,2304.0,0.0,2304.0,2304.0
aggregate,traj_mean_abs,layer2.0.conv1.weight,stage2,5.0,0.35809591671908336,0.012192715910925477,0.34295666033216093,0.3732351731060058,2354.2,83.6253550067203,2250.365407351146,2458.0345926488535,1476.6,27.682124195949992,1442.2281029920834,1510.9718970079164,4608.0,0.0,4608.0,4608.0
aggregate,traj_mean_abs,layer2.0.conv2.weight,stage2,5.0,0.2705181435513773,0.017274946362622272,0.24906846458200815,0.2919678225207465,3180.2,103.8975456880479,3051.19415801742,3309.20584198258,2237.2,54.627831734382426,2169.370588035484,2305.0294119645155,9216.0,0.0,9216.0,9216.0
aggregate,traj_mean_abs,layer2.0.shortcut.0.weight,stage2,5.0,0.5837801063652155,0.010765790926624516,0.5704126113594371,0.5971476013709939,452.8,12.336936410632909,437.4816702107879,468.1183297892121,297.2,3.420526275297414,292.9528556690532,301.4471443309468,512.0,0.0,512.0,512.0
aggregate,traj_mean_abs,layer2.1.conv1.weight,stage2,5.0,0.27281042992793114,0.01213057854797549,0.25774832726752706,0.28787253258833523,3063.0,103.73523991392703,2934.1956872538462,3191.8043127461538,2317.8,65.83084383478614,2236.060211238972,2399.5397887610284,9216.0,0.0,9216.0,9216.0
aggregate,traj_mean_abs,layer2.1.conv2.weight,stage2,5.0,0.2500281112436278,0.019663944170570827,0.22561209970434115,0.2744441227829144,2762.6,41.96188746946447,2710.4974350324883,2814.7025649675115,2072.8,82.4330030994868,1970.4459077875479,2175.1540922124523,9216.0,0.0,9216.0,9216.0
