base_source,feature,runs,rows,auc_imp_only_vs_nonbase_mean,auc_imp_only_vs_nonbase_std,auc_imp_only_vs_nonbase_ci95,auc_imp_only_vs_nonbase_n,topk_recall_mean,topk_recall_std,topk_recall_ci95,topk_recall_n,topk_precision_mean,topk_precision_std,topk_precision_ci95,topk_precision_n,baseline_precision_mean,baseline_precision_std,baseline_precision_ci95,baseline_precision_n,topk_lift_mean,topk_lift_std,topk_lift_ci95,topk_lift_n,imp_only_mean_mean,imp_only_mean_std,imp_only_mean_ci95,imp_only_mean_n,base_only_mean_mean,base_only_mean_std,base_only_mean_ci95,base_only_mean_n,shared_mean_mean,shared_mean_std,shared_mean_ci95,shared_mean_n,neither_mean_mean,neither_mean_std,neither_mean_ci95,neither_mean_n
traj_rms_abs,epoch_0,1,1,0.8300626930673249,0.0,0.0,1,0.21064060803474485,0.0,0.0,1,0.21064060803474485,0.0,0.0,1,0.022665468998018926,0.0,0.0,1,9.293459052321216,0.0,0.0,1,0.2682991072136214,0.0,0.0,1,0.3076113638357865,0.0,0.0,1,0.6506532454590963,0.0,0.0,1,0.15365371015989493,0.0,0.0,1
traj_rms_abs,epoch_1,1,1,0.8518634767668922,0.0,0.0,1,0.34093376764386535,0.0,0.0,1,0.34093376764386535,0.0,0.0,1,0.022665468998018926,0.0,0.0,1,15.041990424891038,0.0,0.0,1,0.27564385215004544,0.0,0.0,1,0.29991412630565584,0.0,0.0,1,0.650786165174464,0.0,0.0,1,0.15334762989257142,0.0,0.0,1
traj_rms_abs,epoch_2,1,1,0.8645522530422741,0.0,0.0,1,0.4500542888165038,0.0,0.0,1,0.4500542888165038,0.0,0.0,1,0.022665468998018926,0.0,0.0,1,19.856385449418266,0.0,0.0,1,0.28158260468518953,0.0,0.0,1,0.294202129292857,0.0,0.0,1,0.6508090477817374,0.0,0.0,1,0.15328827105893786,0.0,0.0,1
traj_rms_abs,traj_initial_rms_movement,1,1,0.5598093460316138,0.0,0.0,1,0.04017372421281216,0.0,0.0,1,0.04017372421281216,0.0,0.0,1,0.022665468998018926,0.0,0.0,1,1.7724638398756956,0.0,0.0,1,0.5605403132022264,0.0,0.0,1,0.5690082693533494,0.0,0.0,1,0.4983594769206725,0.0,0.0,1,0.5008742261505977,0.0,0.0,1
traj_rms_abs,traj_max_abs,1,1,0.8520570592843008,0.0,0.0,1,0.36264929424538545,0.0,0.0,1,0.36264929424538545,0.0,0.0,1,0.022665468998018926,0.0,0.0,1,16.000078986986008,0.0,0.0,1,0.2761140448808767,0.0,0.0,1,0.3021612474078011,0.0,0.0,1,0.6507603870862433,0.0,0.0,1,0.15334555813128325,0.0,0.0,1
traj_rms_abs,traj_mean_abs,1,1,0.8507524893247669,0.0,0.0,1,0.3463626492942454,0.0,0.0,1,0.3463626492942454,0.0,0.0,1,0.022665468998018926,0.0,0.0,1,15.281512565414781,0.0,0.0,1,0.2752365016628231,0.0,0.0,1,0.3005339087560433,0.0,0.0,1,0.650793186889072,0.0,0.0,1,0.1533261022967435,0.0,0.0,1
traj_rms_abs,traj_path_length,1,1,0.5691566469156725,0.0,0.0,1,0.04451682953311618,0.0,0.0,1,0.04451682953311618,0.0,0.0,1,0.022665468998018926,0.0,0.0,1,1.9640815522946897,0.0,0.0,1,0.5694396365628589,0.0,0.0,1,0.5724608359574734,0.0,0.0,1,0.498410801627636,0.0,0.0,1,0.5004664279029966,0.0,0.0,1
traj_rms_abs,traj_post_rewind_path_length,1,1,0.5887935503078804,0.0,0.0,1,0.05754614549402823,0.0,0.0,1,0.05754614549402823,0.0,0.0,1,0.022665468998018926,0.0,0.0,1,2.538934689551672,0.0,0.0,1,0.5869599253819101,0.0,0.0,1,0.5726172669601115,0.0,0.0,1,0.4992360170653211,0.0,0.0,1,0.49810547257449045,0.0,0.0,1
traj_rms_abs,traj_rewind_rms_movement,1,1,0.5887935503078804,0.0,0.0,1,0.05754614549402823,0.0,0.0,1,0.05754614549402823,0.0,0.0,1,0.022665468998018926,0.0,0.0,1,2.538934689551672,0.0,0.0,1,0.5869599253819101,0.0,0.0,1,0.5726172669601115,0.0,0.0,1,0.4992360170653211,0.0,0.0,1,0.49810547257449045,0.0,0.0,1
traj_rms_abs,traj_rms_abs,1,1,0.8508578654165291,0.0,0.0,1,0.3469055374592834,0.0,0.0,1,0.3469055374592834,0.0,0.0,1,0.022665468998018926,0.0,0.0,1,15.305464779467155,0.0,0.0,1,0.27527220869976843,0.0,0.0,1,0.30058769126959656,0.0,0.0,1,0.6507928265300578,0.0,0.0,1,0.15332487891257268,0.0,0.0,1
