base_source,unit,runs,rows,imp_only_share_mean,imp_only_share_std,imp_only_share_ci95,imp_only_share_n,base_only_share_mean,base_only_share_std,base_only_share_ci95,base_only_share_n,imp_only_enrichment_mean,imp_only_enrichment_std,imp_only_enrichment_ci95,imp_only_enrichment_n,base_only_enrichment_mean,base_only_enrichment_std,base_only_enrichment_ci95,base_only_enrichment_n,imp_only_density_mean,imp_only_density_std,imp_only_density_ci95,imp_only_density_n,base_only_density_mean,base_only_density_std,base_only_density_ci95,base_only_density_n,base_only_pruned_round_mean_mean,base_only_pruned_round_mean_std,base_only_pruned_round_mean_ci95,base_only_pruned_round_mean_n
traj_rms_abs,layer2.0.conv1.weight,1,1,0.023887079261672096,0.0,0.0,1,0.023887079261672096,0.0,0.0,1,1.4042782603450354,0.0,0.0,1,1.4042782603450354,0.0,0.0,1,0.009548611111111112,0.0,0.0,1,0.009548611111111112,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,layer2.0.conv2.weight,1,1,0.06080347448425624,0.0,0.0,1,0.06080347448425624,0.0,0.0,1,1.7872632404391362,0.0,0.0,1,1.7872632404391362,0.0,0.0,1,0.012152777777777778,0.0,0.0,1,0.012152777777777778,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,layer2.0.shortcut.0.weight,1,1,0.0005428881650380022,0.0,0.0,1,0.0010857763300760044,0.0,0.0,1,0.28723873507057546,0.0,0.0,1,0.5744774701411509,0.0,0.0,1,0.001953125,0.0,0.0,1,0.00390625,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,layer2.1.conv1.weight,1,1,0.053203040173724216,0.0,0.0,1,0.051031487513572206,0.0,0.0,1,1.5638553353842441,0.0,0.0,1,1.5000245053685608,0.0,0.0,1,0.010633680555555556,0.0,0.0,1,0.010199652777777778,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,layer2.1.conv2.weight,1,1,0.04560260586319218,0.0,0.0,1,0.04288816503800217,0.0,0.0,1,1.340447430329352,0.0,0.0,1,1.2606588928097477,0.0,0.0,1,0.009114583333333334,0.0,0.0,1,0.008572048611111112,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,layer2.2.conv1.weight,1,1,0.04125950054288816,0.0,0.0,1,0.03311617806731813,0.0,0.0,1,1.2127857702979852,0.0,0.0,1,0.9734201577391723,0.0,0.0,1,0.008246527777777778,0.0,0.0,1,0.006618923611111111,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,layer2.2.conv2.weight,1,1,0.03420195439739414,0.0,0.0,1,0.03257328990228013,0.0,0.0,1,1.0053355727470141,0.0,0.0,1,0.9574624502352516,0.0,0.0,1,0.0068359375,0.0,0.0,1,0.006510416666666667,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,layer3.0.conv1.weight,1,1,0.05266015200868621,0.0,0.0,1,0.048317046688382194,0.0,0.0,1,0.7739488139401617,0.0,0.0,1,0.7101179839244782,0.0,0.0,1,0.005262586805555556,0.0,0.0,1,0.004828559027777778,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,layer3.0.conv2.weight,1,1,0.1264929424538545,0.0,0.0,1,0.11454940282301845,0.0,0.0,1,0.92953646210339,0.0,0.0,1,0.8417690708318253,0.0,0.0,1,0.006320529513888889,0.0,0.0,1,0.005723741319444444,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,layer3.0.shortcut.0.weight,1,1,0.0016286644951140066,0.0,0.0,1,0.0010857763300760044,0.0,0.0,1,0.2154290513029316,0.0,0.0,1,0.14361936753528773,0.0,0.0,1,0.00146484375,0.0,0.0,1,0.0009765625,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,layer3.1.conv1.weight,1,1,0.12052117263843648,0.0,0.0,1,0.1264929424538545,0.0,0.0,1,0.8856527664676076,0.0,0.0,1,0.92953646210339,0.0,0.0,1,0.006022135416666667,0.0,0.0,1,0.006320529513888889,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,layer3.1.conv2.weight,1,1,0.11346362649294245,0.0,0.0,1,0.1243213897937025,0.0,0.0,1,0.8337902170798648,0.0,0.0,1,0.9135787545994691,0.0,0.0,1,0.005669487847222222,0.0,0.0,1,0.006212022569444444,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,layer3.2.conv1.weight,1,1,0.11346362649294245,0.0,0.0,1,0.11020629750271443,0.0,0.0,1,0.8337902170798648,0.0,0.0,1,0.8098536558239835,0.0,0.0,1,0.005669487847222222,0.0,0.0,1,0.005506727430555556,0.0,0.0,1,1.0,0.0,0.0,1
traj_rms_abs,layer3.2.conv2.weight,1,1,0.10966340933767643,0.0,0.0,1,0.11943539630836048,0.0,0.0,1,0.8058642289480032,0.0,0.0,1,0.8776739127156472,0.0,0.0,1,0.005479600694444444,0.0,0.0,1,0.005967881944444444,0.0,0.0,1,1.0,0.0,0.0,1
