base_source,group,pruned_round,runs,rows,fraction_mean,fraction_std,fraction_ci95,fraction_n,base_only_pruned_mean,base_only_pruned_std,base_only_pruned_ci95,base_only_pruned_n
epoch_30,stem,2,5,5,0.19413197913197913,0.025579778667814426,0.02242166458864777,5,13.8,1.6431676725154984,1.4402999687565088,5
epoch_30,stem,3,5,5,0.2363020313020313,0.04764476509573362,0.0417624779422193,5,17.0,4.358898943540674,3.820743383165114,5
epoch_30,stem,4,5,5,0.21512931512931513,0.04884352377672238,0.042813236254748366,5,15.4,3.847076812334269,3.3721115046807095,5
epoch_30,stem,5,5,5,0.21332001332001332,0.03179834983287801,0.02787248254506465,5,15.2,2.4899799195977463,2.1825636302293683,5
traj_rms_abs,all,1,5,5,0.1808880143405717,0.008252885742266774,0.007233973303856948,5,5038.6,325.7434573402818,285.52672942475976,5
traj_rms_abs,all,2,5,5,0.2191383064892949,0.0035278106170186676,0.003092262345748493,5,6101.2,208.88202411887912,183.0931668413652,5
traj_rms_abs,all,3,5,5,0.22127495527365643,0.0027622929536837352,0.00242125652873656,5,6159.6,152.2310743573729,133.43641997595708,5
traj_rms_abs,all,4,5,5,0.2020251563269744,0.006658069661770472,0.0058360553741579405,5,5621.4,125.65946044767182,110.1453734661606,5
traj_rms_abs,all,5,5,5,0.1766735675695026,0.006521698939336935,0.0057165211656011,5,4915.4,108.63608976762741,95.22373115983221,5
traj_rms_abs,head,1,5,5,0.14592398257792297,0.026677983159211913,0.023384283267864233,5,13.0,3.6742346141747673,3.2206086381303765,5
traj_rms_abs,head,2,5,5,0.16339672964846505,0.047488363707854774,0.041625386081270914,5,14.6,5.594640292279746,4.903918433253147,5
traj_rms_abs,head,3,5,5,0.17691090364651002,0.03623345905666117,0.03176002718417471,5,15.4,2.3021728866442674,2.0179435076334515,5
traj_rms_abs,head,4,5,5,0.239686186074712,0.04048991418782814,0.035490974606629824,5,21.0,3.5355339059327378,3.0990321069650117,5
traj_rms_abs,head,5,5,5,0.27408219805239,0.02201067169836407,0.01929320439400534,5,24.0,1.5811388300841898,1.3859292911256331,5
traj_rms_abs,stage1,1,5,5,0.18205997791233605,0.007061391406027942,0.006189582470247628,5,848.8,20.437710243566915,17.914442888351285,5
traj_rms_abs,stage1,2,5,5,0.2173692037705482,0.005938170301714642,0.005205035762988915,5,1015.2,64.75492259280371,56.760192247736434,5
traj_rms_abs,stage1,3,5,5,0.22105695367153663,0.006766550368927627,0.005931142906454594,5,1032.8,75.6353092146783,66.29727161806888,5
traj_rms_abs,stage1,4,5,5,0.2019887761289372,0.0032720382405293353,0.002868067972874541,5,942.6,39.259393780342556,34.41237591332513,5
traj_rms_abs,stage1,5,5,5,0.1775250885166419,0.005709148126513626,0.005004288975364014,5,829.0,54.47935388750494,47.75325915578956,5
traj_rms_abs,stage2,1,5,5,0.1915218272283712,0.008555702072275385,0.0074994035201066825,5,2082.6,140.3862528882369,123.05397618931295,5
traj_rms_abs,stage2,2,5,5,0.22560681599987137,0.0032084099390412395,0.0028122953075658094,5,2451.6,81.13137494212704,71.11478563561869,5
traj_rms_abs,stage2,3,5,5,0.21901179688916597,0.0017967342671336185,0.0015749070238551025,5,2379.8,67.97940864703075,59.58657889155912,5
traj_rms_abs,stage2,4,5,5,0.19487344972970122,0.005893714701045209,0.0051660687109185595,5,2116.2,21.787611158637837,19.097683210274486,5
traj_rms_abs,stage2,5,5,5,0.16898611015289025,0.0048397905395512406,0.004242263452172408,5,1835.2,24.118457662130886,21.140760251230322,5
