source_kind,source,parameter,group,num_runs,layer_jaccard,layer_jaccard_std,layer_jaccard_ci95_low,layer_jaccard_ci95_high,kept,kept_std,kept_ci95_low,kept_ci95_high,imp_kept,imp_kept_std,imp_kept_ci95_low,imp_kept_ci95_high,total,total_std,total_ci95_low,total_ci95_high
aggregate,traj_mean_abs,layer3.0.shortcut.0.weight,stage3,1.0,0.9952631578947368,0.0,0.9952631578947368,0.9952631578947368,1895.0,0.0,1895.0,1895.0,1896.0,0.0,1896.0,1896.0,2048.0,0.0,2048.0,2048.0
aggregate,traj_mean_abs,layer3.1.conv1.weight,stage3,1.0,0.9810756166599273,0.0,0.9810756166599273,0.9810756166599273,24502.0,0.0,24502.0,24502.0,24490.0,0.0,24490.0,24490.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_mean_abs,layer3.1.conv2.weight,stage3,1.0,0.9810712683066128,0.0,0.9810712683066128,0.9810712683066128,24287.0,0.0,24287.0,24287.0,24275.0,0.0,24275.0,24275.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_mean_abs,layer3.2.conv1.weight,stage3,1.0,0.983478119671998,0.0,0.983478119671998,0.983478119671998,24430.0,0.0,24430.0,24430.0,24431.0,0.0,24431.0,24431.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_mean_abs,layer3.2.conv2.weight,stage3,1.0,0.9829742169361737,0.0,0.9829742169361737,0.9829742169361737,24342.0,0.0,24342.0,24342.0,24342.0,0.0,24342.0,24342.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_path_length,conv1.weight,stem,1.0,0.9143518518518519,0.0,0.9143518518518519,0.9143518518518519,430.0,0.0,430.0,430.0,397.0,0.0,397.0,397.0,432.0,0.0,432.0,432.0
aggregate,traj_path_length,fc.weight,head,1.0,0.86875,0.0,0.86875,0.86875,640.0,0.0,640.0,640.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
aggregate,traj_path_length,layer1.0.conv1.weight,stage1,1.0,0.82421875,0.0,0.82421875,0.82421875,2295.0,0.0,2295.0,2295.0,1908.0,0.0,1908.0,1908.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_path_length,layer1.0.conv2.weight,stage1,1.0,0.8241424229266174,0.0,0.8241424229266174,0.8241424229266174,2295.0,0.0,2295.0,2295.0,1906.0,0.0,1906.0,1906.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_path_length,layer1.1.conv1.weight,stage1,1.0,0.82,0.0,0.82,0.82,2286.0,0.0,2286.0,2286.0,1900.0,0.0,1900.0,1900.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_path_length,layer1.1.conv2.weight,stage1,1.0,0.8160869565217391,0.0,0.8160869565217391,0.8160869565217391,2270.0,0.0,2270.0,2270.0,1907.0,0.0,1907.0,1907.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_path_length,layer1.2.conv1.weight,stage1,1.0,0.8220191470844213,0.0,0.8220191470844213,0.8220191470844213,2264.0,0.0,2264.0,2264.0,1923.0,0.0,1923.0,1923.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_path_length,layer1.2.conv2.weight,stage1,1.0,0.8109756097560976,0.0,0.8109756097560976,0.8109756097560976,2248.0,0.0,2248.0,2248.0,1910.0,0.0,1910.0,1910.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_path_length,layer2.0.conv1.weight,stage2,1.0,0.794496614981437,0.0,0.794496614981437,0.794496614981437,4418.0,0.0,4418.0,4418.0,3799.0,0.0,3799.0,3799.0,4608.0,0.0,4608.0,4608.0
aggregate,traj_path_length,layer2.0.conv2.weight,stage2,1.0,0.7315517430990872,0.0,0.7315517430990872,0.7315517430990872,8721.0,0.0,8721.0,8721.0,7024.0,0.0,7024.0,7024.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_path_length,layer2.0.shortcut.0.weight,stage2,1.0,0.9021526418786693,0.0,0.9021526418786693,0.9021526418786693,491.0,0.0,491.0,491.0,481.0,0.0,481.0,481.0,512.0,0.0,512.0,512.0
aggregate,traj_path_length,layer2.1.conv1.weight,stage2,1.0,0.7303160444884924,0.0,0.7303160444884924,0.7303160444884924,8708.0,0.0,8708.0,8708.0,7005.0,0.0,7005.0,7005.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_path_length,layer2.1.conv2.weight,stage2,1.0,0.7052469135802469,0.0,0.7052469135802469,0.7052469135802469,8510.0,0.0,8510.0,8510.0,6960.0,0.0,6960.0,6960.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_path_length,layer2.2.conv1.weight,stage2,1.0,0.7001221272343733,0.0,0.7001221272343733,0.7001221272343733,8296.0,0.0,8296.0,8296.0,7017.0,0.0,7017.0,7017.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_path_length,layer2.2.conv2.weight,stage2,1.0,0.6843757005155795,0.0,0.6843757005155795,0.6843757005155795,8026.0,0.0,8026.0,8026.0,7002.0,0.0,7002.0,7002.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_path_length,layer3.0.conv1.weight,stage3,1.0,0.62941411375435,0.0,0.62941411375435,0.62941411375435,14452.0,0.0,14452.0,14452.0,14110.0,0.0,14110.0,14110.0,18432.0,0.0,18432.0,18432.0
aggregate,traj_path_length,layer3.0.conv2.weight,stage3,1.0,0.5201789682301363,0.0,0.5201789682301363,0.5201789682301363,26237.0,0.0,26237.0,26237.0,24388.0,0.0,24388.0,24388.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_path_length,layer3.0.shortcut.0.weight,stage3,1.0,0.6641901931649331,0.0,0.6641901931649331,0.6641901931649331,1464.0,0.0,1464.0,1464.0,1896.0,0.0,1896.0,1896.0,2048.0,0.0,2048.0,2048.0
aggregate,traj_path_length,layer3.1.conv1.weight,stage3,1.0,0.4981023227569455,0.0,0.4981023227569455,0.4981023227569455,24850.0,0.0,24850.0,24850.0,24490.0,0.0,24490.0,24490.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_path_length,layer3.1.conv2.weight,stage3,1.0,0.4622149632514605,0.0,0.4622149632514605,0.4622149632514605,22279.0,0.0,22279.0,22279.0,24275.0,0.0,24275.0,24275.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_path_length,layer3.2.conv1.weight,stage3,1.0,0.43240832191671713,0.0,0.43240832191671713,0.43240832191671713,20528.0,0.0,20528.0,20528.0,24431.0,0.0,24431.0,24431.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_path_length,layer3.2.conv2.weight,stage3,1.0,0.38674323215750617,0.0,0.38674323215750617,0.38674323215750617,17919.0,0.0,17919.0,17919.0,24342.0,0.0,24342.0,24342.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_post_rewind_path_length,conv1.weight,stem,1.0,0.8909512761020881,0.0,0.8909512761020881,0.8909512761020881,418.0,0.0,418.0,418.0,397.0,0.0,397.0,397.0,432.0,0.0,432.0,432.0
aggregate,traj_post_rewind_path_length,fc.weight,head,1.0,0.859375,0.0,0.859375,0.859375,634.0,0.0,634.0,634.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
aggregate,traj_post_rewind_path_length,layer1.0.conv1.weight,stage1,1.0,0.7905759162303665,0.0,0.7905759162303665,0.7905759162303665,2196.0,0.0,2196.0,2196.0,1908.0,0.0,1908.0,1908.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_post_rewind_path_length,layer1.0.conv2.weight,stage1,1.0,0.7881170816950633,0.0,0.7881170816950633,0.7881170816950633,2187.0,0.0,2187.0,2187.0,1906.0,0.0,1906.0,1906.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_post_rewind_path_length,layer1.1.conv1.weight,stage1,1.0,0.7866841874726237,0.0,0.7866841874726237,0.7866841874726237,2179.0,0.0,2179.0,2179.0,1900.0,0.0,1900.0,1900.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_post_rewind_path_length,layer1.1.conv2.weight,stage1,1.0,0.7782169521299956,0.0,0.7782169521299956,0.7782169521299956,2142.0,0.0,2142.0,2142.0,1907.0,0.0,1907.0,1907.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_post_rewind_path_length,layer1.2.conv1.weight,stage1,1.0,0.7827814569536424,0.0,0.7827814569536424,0.7827814569536424,2115.0,0.0,2115.0,2115.0,1923.0,0.0,1923.0,1923.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_post_rewind_path_length,layer1.2.conv2.weight,stage1,1.0,0.7748344370860927,0.0,0.7748344370860927,0.7748344370860927,2110.0,0.0,2110.0,2110.0,1910.0,0.0,1910.0,1910.0,2304.0,0.0,2304.0,2304.0
aggregate,traj_post_rewind_path_length,layer2.0.conv1.weight,stage2,1.0,0.7539278601460501,0.0,0.7539278601460501,0.7539278601460501,4127.0,0.0,4127.0,4127.0,3799.0,0.0,3799.0,3799.0,4608.0,0.0,4608.0,4608.0
aggregate,traj_post_rewind_path_length,layer2.0.conv2.weight,stage2,1.0,0.6845825852782765,0.0,0.6845825852782765,0.6845825852782765,7989.0,0.0,7989.0,7989.0,7024.0,0.0,7024.0,7024.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_post_rewind_path_length,layer2.0.shortcut.0.weight,stage2,1.0,0.8169291338582677,0.0,0.8169291338582677,0.8169291338582677,442.0,0.0,442.0,442.0,481.0,0.0,481.0,481.0,512.0,0.0,512.0,512.0
aggregate,traj_post_rewind_path_length,layer2.1.conv1.weight,stage2,1.0,0.6817317373307976,0.0,0.6817317373307976,0.6817317373307976,8028.0,0.0,8028.0,8028.0,7005.0,0.0,7005.0,7005.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_post_rewind_path_length,layer2.1.conv2.weight,stage2,1.0,0.6607686239152485,0.0,0.6607686239152485,0.6607686239152485,7776.0,0.0,7776.0,7776.0,6960.0,0.0,6960.0,6960.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_post_rewind_path_length,layer2.2.conv1.weight,stage2,1.0,0.654547513874731,0.0,0.654547513874731,0.654547513874731,7591.0,0.0,7591.0,7591.0,7017.0,0.0,7017.0,7017.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_post_rewind_path_length,layer2.2.conv2.weight,stage2,1.0,0.6426532709213381,0.0,0.6426532709213381,0.6426532709213381,7386.0,0.0,7386.0,7386.0,7002.0,0.0,7002.0,7002.0,9216.0,0.0,9216.0,9216.0
aggregate,traj_post_rewind_path_length,layer3.0.conv1.weight,stage3,1.0,0.6017100930151944,0.0,0.6017100930151944,0.6017100930151944,13614.0,0.0,13614.0,13614.0,14110.0,0.0,14110.0,14110.0,18432.0,0.0,18432.0,18432.0
aggregate,traj_post_rewind_path_length,layer3.0.conv2.weight,stage3,1.0,0.5089823987397376,0.0,0.5089823987397376,0.5089823987397376,25422.0,0.0,25422.0,25422.0,24388.0,0.0,24388.0,24388.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_post_rewind_path_length,layer3.0.shortcut.0.weight,stage3,1.0,0.6595427435387674,0.0,0.6595427435387674,0.6595427435387674,1443.0,0.0,1443.0,1443.0,1896.0,0.0,1896.0,1896.0,2048.0,0.0,2048.0,2048.0
aggregate,traj_post_rewind_path_length,layer3.1.conv1.weight,stage3,1.0,0.5024978676739369,0.0,0.5024978676739369,0.5024978676739369,24834.0,0.0,24834.0,24834.0,24490.0,0.0,24490.0,24490.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_post_rewind_path_length,layer3.1.conv2.weight,stage3,1.0,0.477124183006536,0.0,0.477124183006536,0.477124183006536,23185.0,0.0,23185.0,23185.0,24275.0,0.0,24275.0,24275.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_post_rewind_path_length,layer3.2.conv1.weight,stage3,1.0,0.46178065964212234,0.0,0.46178065964212234,0.46178065964212234,22460.0,0.0,22460.0,22460.0,24431.0,0.0,24431.0,24431.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_post_rewind_path_length,layer3.2.conv2.weight,stage3,1.0,0.4450031625553447,0.0,0.4450031625553447,0.4450031625553447,21349.0,0.0,21349.0,21349.0,24342.0,0.0,24342.0,24342.0,36864.0,0.0,36864.0,36864.0
aggregate,traj_rewind_rms_movement,conv1.weight,stem,1.0,0.8909512761020881,0.0,0.8909512761020881,0.8909512761020881,418.0,0.0,418.0,418.0,397.0,0.0,397.0,397.0,432.0,0.0,432.0,432.0
aggregate,traj_rewind_rms_movement,fc.weight,head,1.0,0.859375,0.0,0.859375,0.859375,634.0,0.0,634.0,634.0,556.0,0.0,556.0,556.0,640.0,0.0,640.0,640.0
