family,config,scope,comparison,runs,n_pairs,n_posterior_values,n_baseline_values,posterior_mean,posterior_std,baseline_mean,baseline_std,delta_mean,delta_ci95_low,delta_ci95_high,positive,negative,zero,paired_win_rate,all_pair_win_rate,ks_stat,ks_pvalue,wasserstein,mmd_rbf,raw_ks_stat,raw_ks_pvalue,raw_wasserstein,raw_mmd_rbf,raw_pair_win_rate,mean_post_chain,mean_sample_accuracy,verdict
CIFAR TrajSubHMC,step=1.0e-03,global,posterior-random,5,5,5,5,0.22899631877495566,0.008627181739389905,0.09168609602246199,0.0002221157283022495,0.13731022275249366,0.12973895773165864,0.14488148777332868,5,0,0,1.0,1.0,1.0,0.0,0.1373102227524937,0.9334641457311297,nan,nan,nan,nan,nan,0.9914726552109558,0.884715,posterior separates from random
CIFAR TrajSubHMC,step=1.0e-03,global,posterior-chain,5,5,5,5,0.22899631877495566,0.008627181739389905,0.22918521173466036,0.00875404060793419,-0.00018889295970470066,-0.00034226143214820807,-3.552448726119325e-05,2,3,0,0.4,0.48,0.20000000000000007,1.0,0.00018889551015393024,0.0032783088553973716,nan,nan,nan,nan,nan,0.9914726552109558,0.884715,practically tied to control
CIFAR TrajSubHMC,step=1.0e-03,global,posterior-dense,5,5,5,5,0.22899631877495566,0.008627181739389905,0.22918521173466036,0.00875404060793419,-0.00018889295970470066,-0.00034226143214820807,-3.552448726119325e-05,2,3,0,0.4,0.48,0.20000000000000007,1.0,0.00018889551015393024,0.0032783088553973716,nan,nan,nan,nan,nan,0.9914726552109558,0.884715,practically tied to control
CIFAR TrajSubHMC,step=1.0e-03,global,posterior-rewind,5,5,5,5,0.22899631877495566,0.008627181739389905,0.17916609423741592,0.004319767583932466,0.04983022453753973,0.044851310908869554,0.0548091381662099,5,0,0,1.0,1.0,1.0,0.0,0.04983022453753972,1.257505217428967,nan,nan,nan,nan,nan,0.9914726552109558,0.884715,posterior closer to ticket
CIFAR TrajSubHMC,step=3.0e-04,global,posterior-random,5,5,5,5,0.22908359628815111,0.008717455886831727,0.09164804154905284,7.423804655885255e-05,0.13743555473909827,0.1297805409921674,0.14509056848602914,5,0,0,1.0,1.0,1.0,0.0,0.13743555473909824,0.9343232380912145,nan,nan,nan,nan,nan,0.9950099661754715,0.88487,posterior separates from random
CIFAR TrajSubHMC,step=3.0e-04,global,posterior-chain,5,5,5,5,0.22908359628815111,0.008717455886831727,0.22918521173466036,0.00875404060793419,-0.00010161544650923449,-0.00014220545962397997,-6.102543339448901e-05,0,5,0,0.0,0.4,0.20000000000000007,1.0,0.00010161544650923449,0.00045756692351361927,nan,nan,nan,nan,nan,0.9950099661754715,0.88487,practically tied to control
CIFAR TrajSubHMC,step=3.0e-04,global,posterior-dense,5,5,5,5,0.22908359628815111,0.008717455886831727,0.22918521173466036,0.00875404060793419,-0.00010161544650923449,-0.00014220545962397997,-6.102543339448901e-05,0,5,0,0.0,0.4,0.20000000000000007,1.0,0.00010161544650923449,0.00045756692351361927,nan,nan,nan,nan,nan,0.9950099661754715,0.88487,practically tied to control
CIFAR TrajSubHMC,step=3.0e-04,global,posterior-rewind,5,5,5,5,0.22908359628815111,0.008717455886831727,0.17916609423741592,0.004319767583932466,0.04991750205073519,0.044863101276091166,0.05497190282537921,5,0,0,1.0,1.0,1.0,0.0,0.04991750205073519,1.2598575549705517,nan,nan,nan,nan,nan,0.9950099661754715,0.88487,posterior closer to ticket
CIFAR cSGLD movement,lr=1.0e-05,global,posterior-random,5,5,5,5,0.12600227779767814,0.0009594170055052992,0.09176980178003562,0.00015627095338414593,0.03423247601764252,0.03346571172054377,0.03499924031474126,5,0,0,1.0,1.0,1.0,0.0,0.03423247601764252,0.8274227963712122,nan,nan,nan,nan,nan,0.3700218406145346,0.843412,posterior separates from random
CIFAR cSGLD movement,lr=1.0e-05,global,posterior-chain,5,5,5,5,0.12600227779767814,0.0009594170055052992,0.1454349506181538,0.0018206017819667275,-0.01943267282047568,-0.0202927927392632,-0.018572552901688157,0,5,0,0.0,0.0,1.0,0.0,0.01943267282047568,0.9612085408148083,nan,nan,nan,nan,nan,0.3700218406145346,0.843412,control closer to ticket
CIFAR cSGLD movement,lr=1.0e-05,global,posterior-dense,5,5,5,5,0.12600227779767814,0.0009594170055052992,0.1454349506181538,0.0018206017819667275,-0.01943267282047568,-0.0202927927392632,-0.018572552901688157,0,5,0,0.0,0.0,1.0,0.0,0.01943267282047568,0.9612085408148083,nan,nan,nan,nan,nan,0.3700218406145346,0.843412,control closer to ticket
CIFAR cSGLD movement,lr=1.0e-05,global,posterior-rewind,5,5,5,5,0.12600227779767814,0.0009594170055052992,0.17892669004681727,0.002799542415700095,-0.052924412249139144,-0.05522583273066591,-0.050622991767612376,0,5,0,0.0,0.0,1.0,0.0,0.05292441224913915,0.8838641935041289,nan,nan,nan,nan,nan,0.3700218406145346,0.843412,control closer to ticket
CIFAR cSGLD movement,lr=1.0e-06,global,posterior-random,5,5,5,5,0.14216322154228622,0.001475511876849139,0.09176396024206933,0.00015278364845527646,0.05039926130021688,0.049177664588827434,0.051620858011606326,5,0,0,1.0,1.0,1.0,0.0,0.05039926130021689,0.8386739387388775,nan,nan,nan,nan,nan,0.7045998173286081,0.878248,posterior separates from random
CIFAR cSGLD movement,lr=1.0e-06,global,posterior-chain,5,5,5,5,0.14216322154228622,0.001475511876849139,0.1454349506181538,0.0018206017819667275,-0.0032717290758676023,-0.0035907653470363043,-0.0029526928046989,0,5,0,0.0,0.08,0.8,0.07999999999999996,0.0032717290758676023,0.5893672676285872,nan,nan,nan,nan,nan,0.7045998173286081,0.878248,practically tied to control
CIFAR cSGLD movement,lr=1.0e-06,global,posterior-dense,5,5,5,5,0.14216322154228622,0.001475511876849139,0.1454349506181538,0.0018206017819667275,-0.0032717290758676023,-0.0035907653470363043,-0.0029526928046989,0,5,0,0.0,0.08,0.8,0.07999999999999996,0.0032717290758676023,0.5893672676285872,nan,nan,nan,nan,nan,0.7045998173286081,0.878248,practically tied to control
CIFAR cSGLD movement,lr=1.0e-06,global,posterior-rewind,5,5,5,5,0.14216322154228622,0.001475511876849139,0.17892669004681727,0.002799542415700095,-0.03676346850453107,-0.038758262257923136,-0.034768674751139005,0,5,0,0.0,0.0,1.0,0.0,0.03676346850453108,0.9128210724980921,nan,nan,nan,nan,nan,0.7045998173286081,0.878248,control closer to ticket
CIFAR cSGLD movement,lr=1.0e-10,global,posterior-random,5,5,5,5,0.14544271700972125,0.0018144062758418194,0.09176663069159993,0.00015573393149245386,0.05367608631812131,0.05215920953525828,0.055192963100984344,5,0,0,1.0,1.0,1.0,0.0,0.05367608631812131,0.8465437092980406,nan,nan,nan,nan,nan,0.9962758153518885,0.8854500000000001,posterior separates from random
CIFAR cSGLD movement,lr=1.0e-10,global,posterior-chain,5,5,5,5,0.14544271700972125,0.0018144062758418194,0.1454349506181538,0.0018206017819667275,7.766391567426422e-06,-3.5162495131714816e-05,5.0695278266567654e-05,3,2,0,0.6,0.52,0.20000000000000007,1.0,3.606734828029423e-05,2.832311922817965e-05,nan,nan,nan,nan,nan,0.9962758153518885,0.8854500000000001,practically tied to control
CIFAR cSGLD movement,lr=1.0e-10,global,posterior-dense,5,5,5,5,0.14544271700972125,0.0018144062758418194,0.1454349506181538,0.0018206017819667275,7.766391567426422e-06,-3.5162495131714816e-05,5.0695278266567654e-05,3,2,0,0.6,0.52,0.20000000000000007,1.0,3.606734828029423e-05,2.832311922817965e-05,nan,nan,nan,nan,nan,0.9962758153518885,0.8854500000000001,practically tied to control
CIFAR cSGLD movement,lr=1.0e-10,global,posterior-rewind,5,5,5,5,0.14544271700972125,0.0018144062758418194,0.17892669004681727,0.002799542415700095,-0.03348397303709604,-0.035413553263219814,-0.03155439281097227,0,5,0,0.0,0.0,1.0,0.0,0.03348397303709605,0.9367468159469692,nan,nan,nan,nan,nan,0.9962758153518885,0.8854500000000001,control closer to ticket
CIFAR cSGLD movement,lr=3.0e-06,global,posterior-random,5,5,5,5,0.13712038402200788,0.0020161543608260956,0.09176582548169095,0.00015673475652630618,0.04535455854031695,0.04365098064738135,0.047058136433252545,5,0,0,1.0,1.0,1.0,0.0,0.04535455854031695,0.8688827667825911,nan,nan,nan,nan,nan,0.5532818066509495,0.868564,posterior separates from random
CIFAR cSGLD movement,lr=3.0e-06,global,posterior-chain,5,5,5,5,0.13712038402200788,0.0020161543608260956,0.1454349506181538,0.0018206017819667275,-0.008314566596145928,-0.00853255479156427,-0.008096578400727587,0,5,0,0.0,0.0,1.0,0.0,0.008314566596145928,1.1314630140200008,nan,nan,nan,nan,nan,0.5532818066509495,0.868564,control closer to ticket
CIFAR cSGLD movement,lr=3.0e-06,global,posterior-dense,5,5,5,5,0.13712038402200788,0.0020161543608260956,0.1454349506181538,0.0018206017819667275,-0.008314566596145928,-0.00853255479156427,-0.008096578400727587,0,5,0,0.0,0.0,1.0,0.0,0.008314566596145928,1.1314630140200008,nan,nan,nan,nan,nan,0.5532818066509495,0.868564,control closer to ticket
CIFAR cSGLD movement,lr=3.0e-06,global,posterior-rewind,5,5,5,5,0.13712038402200788,0.0020161543608260956,0.17892669004681727,0.002799542415700095,-0.0418063060248094,-0.043806720385528436,-0.03980589166409036,0,5,0,0.0,0.0,1.0,0.0,0.0418063060248094,0.9149673648888428,nan,nan,nan,nan,nan,0.5532818066509495,0.868564,control closer to ticket
Fashion Gate1,r5 p0.30,global,posterior-random,5,5,5,5,0.21144042326275975,0.0022588883919520356,0.09169991645926026,0.00011213974766840266,0.11974050680349947,0.11770643592275662,0.12177457768424232,5,0,0,1.0,1.0,1.0,0.0,0.11974050680349949,0.8052842013428152,1.0,0.0,0.1197405068034995,1.4092671642150207,1.0,0.9212239165775922,nan,posterior separates from random
Fashion Gate1,r5 p0.30,global,posterior-chain,5,5,5,5,0.21144042326275975,0.0022588883919520356,0.21219731164909308,0.0021273465318053042,-0.0007568883863333375,-0.0009122265837757796,-0.0006015501888908955,0,5,0,0.0,0.28,0.6,0.32000000000000006,0.0007568883863333375,0.03379751708642975,nan,nan,nan,nan,nan,0.9212239165775922,nan,practically tied to control
Fashion Gate1,r5 p0.30,global,posterior-dense,5,5,5,5,0.21144042326275975,0.0022588883919520356,0.525518968129918,0.03931187971726971,-0.3140785448671583,-0.3481987342593401,-0.2799583554749765,0,5,0,0.0,0.0,1.0,0.0,0.3140785448671583,1.016485553385567,nan,nan,nan,nan,nan,0.9212239165775922,nan,control closer to ticket
MNIST Gate1,r5 p0.30,global,posterior-random,5,5,5,5,0.23732427345431767,0.0010649141772652224,0.09177439971759402,4.345911047244293e-05,0.14554987373672368,0.14461979276518172,0.14647995470826564,5,0,0,1.0,1.0,1.0,0.0,0.14554987373672365,0.7996028190726132,1.0,0.0,0.14554987373672365,1.4788234169194965,1.0,0.9297703313813687,nan,posterior separates from random
MNIST Gate1,r5 p0.30,global,posterior-chain,5,5,5,5,0.23732427345431767,0.0010649141772652224,0.2384643876400597,0.001200556383928204,-0.0011401141857420361,-0.0012820482634914993,-0.000998180107992573,0,5,0,0.0,0.24,0.6000000000000001,0.31999999999999984,0.0011401141857420361,0.20639215098581176,nan,nan,nan,nan,nan,0.9297703313813687,nan,practically tied to control
MNIST Gate1,r5 p0.30,global,posterior-dense,5,5,5,5,0.23732427345431767,0.0010649141772652224,0.5924264241128779,0.010898139782796565,-0.35510215065856027,-0.36531101507711433,-0.3448932862400062,0,5,0,0.0,0.0,1.0,0.0,0.3551021506585602,0.823966392131602,nan,nan,nan,nan,nan,0.9297703313813687,nan,control closer to ticket
